model;pk
erp.client;102445
erp.client;5483
erp.client;96638
erp.client;779579
erp.client;294109
erp.client;4318
erp.client;7123
erp.client;10428
erp.client;4219
erp.client;941422
erp.client;297596
erp.client;895215
erp.client;315423
erp.client;835842
erp.client;891822
erp.client;907289
erp.client;26585
erp.client;8095
erp.client;708601
erp.client;842391
erp.client;452806
erp.client;819328
erp.client;497832
erp.client;806534
erp.client;60874
erp.client;768869
erp.client;172432
erp.client;186698
erp.client;710
erp.client;8073
erp.client;753992
erp.client;260666
erp.client;10361
erp.client;412162
erp.client;107702
erp.client;343719
erp.client;77704
erp.client;3248
erp.client;9845
erp.client;9464
erp.client;233685
erp.client;286492
erp.client;10644
erp.client;289468
erp.client;9623
erp.client;175992
erp.client;2050
erp.client;385452
erp.client;977749
erp.client;239126
erp.client;35582
erp.client;43056
erp.client;222826
erp.client;8365
erp.client;7383
erp.client;828267
erp.client;183076
erp.client;3628
erp.client;407606
erp.client;9419
erp.client;266841
erp.client;49709
erp.client;690697
erp.client;946846
erp.client;586148
erp.client;952113
erp.client;399711
erp.client;964469
erp.client;9044
erp.client;9276
erp.client;30437
erp.client;558409
erp.client;67415
erp.client;774543
erp.client;506153
erp.client;262062
erp.client;6508
erp.client;303
erp.client;784338
erp.client;20378
erp.client;882327
erp.client;70413
erp.client;9516
erp.client;7143
erp.client;513
erp.client;825693
erp.client;8754
erp.client;10466
erp.client;491542
erp.client;416879
erp.client;932997
erp.client;919225
erp.client;997214
erp.client;348172
erp.client;789134
erp.client;278831
erp.client;7319
erp.client;770797
erp.client;935967
erp.client;202341
erp.client;85701
erp.client;8565
erp.client;10448
erp.client;924049
erp.client;10311
erp.client;912472
erp.client;828
erp.client;4772
erp.client;183899
erp.client;398828
erp.client;9607
erp.client;454507
erp.client;7644
erp.client;264984
erp.client;3387
erp.client;655178
erp.client;982142
erp.client;19963
erp.client;737199
erp.client;10183
erp.client;724276
erp.client;330934
erp.client;752119
erp.client;3567
erp.client;502492
erp.client;196445
erp.client;376639
erp.client;642301
erp.client;8872
erp.client;291052
erp.client;284304
erp.client;10213
erp.client;703592
erp.client;8641
erp.client;113619
erp.client;969885
erp.client;3790
erp.client;4039
erp.client;57449
erp.client;333757
erp.client;8829
erp.client;879494
erp.client;5519
erp.client;853739
erp.client;79552
erp.client;7242
erp.client;7082
erp.client;353419
erp.client;902264
erp.client;10309
erp.client;7231
erp.client;31433
erp.client;8488
erp.client;983534
erp.client;666063
erp.client;698775
erp.client;485711
erp.client;273048
erp.client;2717
erp.client;10278
erp.client;664
erp.client;7698
erp.client;905327
erp.client;7495
erp.client;8920
erp.client;153764
erp.client;735362
erp.client;697316
erp.client;567624
erp.client;453351
erp.client;531308
erp.client;8702
erp.client;417127
erp.client;786062
erp.client;192307
erp.client;694109
erp.client;2416
erp.client;803816
erp.client;450706
erp.client;272167
erp.client;480696
erp.client;546019
erp.client;9153
erp.client;297359
erp.client;815027
erp.client;2524
erp.client;790893
erp.client;10665
erp.client;860135
erp.client;865831
erp.client;5340
erp.client;557501
erp.client;866817
erp.client;429412
erp.client;6797
erp.client;24976
erp.client;370917
erp.client;76273
erp.client;7880
erp.client;8360
erp.client;994907
erp.client;8192
erp.client;7913
erp.client;1379
erp.client;3152
erp.client;604323
erp.client;407028
erp.client;943767
erp.client;752955
erp.client;7578
erp.client;583359
erp.client;313191
erp.client;7249
erp.client;337787
erp.client;9339
erp.client;5364
erp.client;25697
erp.client;8997
erp.client;8998
erp.client;9002
erp.client;9003
erp.client;209699
erp.client;10358
erp.client;8996
erp.client;9001
erp.client;8999
erp.client;10305
erp.client;552496
erp.client;668283
erp.client;10081
erp.client;766099
erp.client;369907
erp.client;9705
erp.client;8533
erp.client;512395
erp.client;861002
erp.client;717226
erp.client;564075
erp.client;281407
erp.client;167335
erp.client;12155
erp.client;463548
erp.client;52754
erp.client;824844
erp.client;5091
erp.client;492457
erp.client;799783
erp.client;89719
erp.client;513002
erp.client;429886
erp.client;153209
erp.client;9426
erp.client;430554
erp.client;325
erp.client;8271
erp.client;513767
erp.client;10198
erp.client;875368
erp.client;820107
erp.client;773993
erp.client;10432
erp.client;559188
erp.client;765722
erp.client;2991
erp.client;610093
erp.client;501041
erp.client;592842
erp.client;73753
erp.client;624693
erp.client;1132
erp.client;10412
erp.client;95902
erp.client;835597
erp.client;8388
erp.client;907321
erp.client;563022
erp.client;914423
erp.client;737818
erp.client;556631
erp.client;2282
erp.client;4019
erp.client;486749
erp.client;953973
erp.client;239589
erp.client;302611
erp.client;48646
erp.client;9155
erp.client;8972
erp.client;140327
erp.client;237933
erp.client;201235
erp.client;821387
erp.client;382463
erp.client;710239
erp.client;89531
erp.client;239841
erp.client;2835
erp.client;10667
erp.client;4114
erp.client;10551
erp.client;347276
erp.client;7479
erp.client;9988
erp.client;319897
erp.client;83596
erp.client;261258
erp.client;503113
