cli;odorizador;cant_odo;aerosoles;cant_aer;goteos;cant_got
10078;1;1;2;0;3;0
278411;1;1;2;0;3;0
5817;1;4;2;0;3;0
957729;1;3;2;3;3;0
64213;1;0;2;0;3;0
369204;1;6;2;0;3;0
6104;1;0;2;0;3;0
4832;1;1;2;0;3;0
103686;1;0;2;0;3;0
643067;1;0;2;0;3;0
771684;1;1;2;0;3;0
6702;1;3;2;0;3;0
452266;1;1;2;0;3;0
9275;1;1;2;0;3;0
797366;1;1;2;0;3;0
9088;1;1;2;0;3;0
9832;1;2;2;0;3;0
536881;1;1;2;0;3;0
443113;1;1;2;0;3;0
8538;1;1;2;0;3;0
8185;1;1;2;0;3;0
622;1;1;2;0;3;0
455818;1;1;2;0;3;0
9567;1;0;2;0;3;0
68263;1;1;2;0;3;100
237968;1;0;2;0;3;0
9590;1;1;2;0;3;0
8005;1;1;2;0;3;0
7430;1;1;2;0;3;0
357457;1;1;2;0;3;0
9899;1;1;2;0;3;0
618744;1;0;2;0;3;0
746651;1;1;2;0;3;0
4500;1;0;2;0;3;0
112023;1;3;2;0;3;0
441;1;1;2;0;3;0
10701;1;1;2;0;3;0
274118;1;0;2;0;3;0
10077;1;1;2;0;3;0
9253;1;1;2;0;3;0
9313;1;1;2;0;3;0
10187;1;1;2;0;3;0
826243;1;1;2;0;3;0
572564;1;0;2;0;3;0
101725;1;1;2;0;3;100
704335;1;1;2;0;3;0
698735;1;0;2;0;3;0
729424;1;0;2;0;3;0
616712;1;1;2;0;3;0
787527;1;0;2;0;3;0
3836;1;0;2;0;3;0
227177;1;0;2;0;3;0
158324;1;1;2;0;3;0
960945;1;0;2;0;3;0
10351;1;3;2;0;3;0
2952;1;1;2;0;3;0
7944;1;1;2;0;3;0
10627;1;1;2;0;3;0
793593;1;1;2;0;3;0
43958;1;0;2;0;3;0
2126;1;2;2;0;3;0
203175;1;1;2;0;3;0
5083;1;1;2;0;3;0
296254;1;0;2;0;3;0
9922;1;1;2;0;3;0
332429;1;1;2;0;3;0
632898;1;1;2;0;3;0
231661;1;2;2;0;3;0
642149;1;3;2;0;3;0
2153;1;2;2;0;3;0
356363;1;0;2;0;3;0
579242;1;1;2;0;3;0
263516;1;1;2;0;3;0
843172;1;1;2;0;3;0
841427;1;1;2;0;3;0
8935;1;1;2;0;3;0
67458;1;1;2;0;3;0
809404;1;1;2;0;3;0
704488;1;1;2;0;3;0
509423;1;1;2;0;3;0
616204;1;1;2;0;3;0
889729;1;1;2;0;3;0
4594;1;1;2;0;3;100
88789;1;0;2;0;3;0
689741;1;1;2;0;3;0
5482;1;1;2;0;3;0
875566;1;2;2;0;3;0
406985;1;1;2;0;3;0
525425;1;1;2;0;3;0
925651;1;0;2;0;3;0
645087;1;1;2;0;3;0
198315;1;0;2;0;3;0
5628;1;1;2;0;3;0
10589;1;1;2;0;3;0
7842;1;3;2;0;3;0
733227;1;1;2;0;3;0
607236;1;3;2;0;3;0
492701;1;0;2;0;3;0
596408;1;0;2;0;3;0
28;1;1;2;0;3;0
760137;1;1;2;0;3;0
459513;1;2;2;0;3;0
883669;1;0;2;0;3;0
715686;1;2;2;0;3;0
115714;1;1;2;0;3;0
225786;1;1;2;0;3;0
1609;1;1;2;0;3;0
268447;1;1;2;0;3;0
147595;1;2;2;0;3;0
980834;1;0;2;0;3;0
8290;1;0;2;0;3;0
791357;1;1;2;0;3;0
306833;1;1;2;0;3;0
627642;1;1;2;0;3;0
7170;1;1;2;0;3;0
4713;1;1;2;0;3;0
7553;1;1;2;0;3;0
523109;1;1;2;0;3;0
10401;1;1;2;0;3;0
10325;1;1;2;0;3;0
10628;1;1;2;0;3;0
441808;1;1;2;0;3;0
3121;1;1;2;0;3;0
841897;1;1;2;0;3;0
10413;1;1;2;0;3;0
10585;1;1;2;0;3;0
185789;1;1;2;0;3;0
5539;1;1;2;0;3;0
8562;1;3;2;0;3;0
30988;1;0;2;0;3;0
298016;1;1;2;0;3;0
810066;1;0;2;0;3;0
6254;1;2;2;0;3;0
634587;1;0;2;0;3;0
10543;1;1;2;0;3;0
569672;1;3;2;0;3;0
385062;1;1;2;0;3;0
448642;1;1;2;0;3;0
10200;1;1;2;0;3;0
762504;1;0;2;0;3;0
881318;1;0;2;0;3;0
4218;1;1;2;0;3;0
5636;1;1;2;0;3;0
718793;1;0;2;0;3;0
823551;1;2;2;0;3;0
746805;1;1;2;0;3;0
928786;1;0;2;0;3;0
162768;1;2;2;0;3;0
991007;1;1;2;0;3;0
39723;1;1;2;0;3;0
804597;1;2;2;0;3;0
207335;1;2;2;0;3;0
2085;1;0;2;0;3;0
763265;1;2;2;0;3;0
932475;1;1;2;0;3;0
96;1;10;2;0;3;0
222532;1;0;2;0;3;0
904554;1;3;2;0;3;0
966166;1;0;2;0;3;0
1109;1;6;2;0;3;0
166484;1;0;2;0;3;0
525998;1;0;2;0;3;0
48342;1;1;2;0;3;0
6401;1;1;2;0;3;0
897925;1;0;2;0;3;0
985164;1;0;2;0;3;0
564014;1;4;2;0;3;0
842249;1;3;2;0;3;0
187856;1;0;2;0;3;0
560666;1;0;2;0;3;0
171924;1;1;2;0;3;0
382719;1;1;2;0;3;0
110568;1;1;2;0;3;0
691;1;1;2;0;3;0
759747;1;0;2;0;3;0
857761;1;1;2;0;3;0
901429;1;1;2;0;3;0
843828;1;1;2;0;3;0
790779;1;0;2;0;3;0
438452;1;1;2;0;3;100
583927;1;0;2;0;3;0
478212;1;1;2;0;3;0
595755;1;0;2;0;3;0
707;1;2;2;0;3;100
9725;1;1;2;0;3;0
6840;1;3;2;0;3;0
491595;1;3;2;0;3;0
9836;1;0;2;0;3;0
1096;1;1;2;0;3;0
180159;1;0;2;0;3;0
8843;1;1;2;0;3;0
409231;1;6;2;0;3;0
989909;1;4;2;0;3;0
5264;1;1;2;0;3;0
898947;1;1;2;0;3;0
179342;1;1;2;0;3;0
4425;1;2;2;0;3;0
458492;1;2;2;0;3;0
147068;1;1;2;0;3;0
8820;1;1;2;0;3;0
10451;1;1;2;0;3;0
184373;1;1;2;0;3;0
10357;1;1;2;0;3;0
589946;1;1;2;0;3;0
982154;1;1;2;0;3;0
942534;1;8;2;0;3;0
10429;1;2;2;0;3;0
569796;1;1;2;0;3;0
506877;1;0;2;0;3;0
170;1;2;2;0;3;0
7963;1;1;2;0;3;0
5961;1;2;2;0;3;0
2747;1;1;2;0;3;0
708534;1;7;2;4;3;0
683585;1;0;2;0;3;0
10590;1;1;2;0;3;0
7513;1;4;2;0;3;0
3369;1;2;2;0;3;0
927979;1;1;2;0;3;0
75611;1;1;2;0;3;0
606048;1;2;2;0;3;0
9454;1;1;2;0;3;0
9603;1;1;2;0;3;0
680561;1;0;2;0;3;0
294584;1;5;2;0;3;0
544994;1;0;2;0;3;0
585442;1;1;2;0;3;0
2713;1;1;2;0;3;0
5102;1;1;2;0;3;0
791464;1;0;2;0;3;0
952818;1;0;2;0;3;0
162977;1;0;2;0;3;0
8539;1;1;2;0;3;0
729667;1;0;2;0;3;0
604805;1;5;2;0;3;0
9373;1;1;2;0;3;0
9658;1;2;2;0;3;0
177998;1;1;2;0;3;0
211606;1;1;2;0;3;0
241302;1;2;2;0;3;0
102445;1;2;2;0;3;0
5483;1;1;2;0;3;0
96638;1;2;2;0;3;0
779579;1;1;2;0;3;0
294109;1;0;2;0;3;0
4318;1;1;2;0;3;0
7123;1;1;2;0;3;0
10428;1;2;2;0;3;0
4219;1;1;2;0;3;0
941422;1;4;2;0;3;0
297596;1;2;2;0;3;0
895215;1;2;2;0;3;0
315423;1;1;2;0;3;0
835842;1;1;2;0;3;0
891822;1;1;2;0;3;0
907289;1;1;2;0;3;0
26585;1;1;2;0;3;0
8095;1;1;2;0;3;0
708601;1;2;2;0;3;0
842391;1;2;2;0;3;0
452806;1;0;2;0;3;0
819328;1;1;2;0;3;0
497832;1;1;2;0;3;0
806534;1;1;2;0;3;0
60874;1;0;2;0;3;0
768869;1;0;2;0;3;0
172432;1;0;2;0;3;0
186698;1;0;2;0;3;0
710;1;3;2;0;3;0
8073;1;1;2;0;3;0
753992;1;1;2;0;3;0
260666;1;2;2;0;3;0
10361;1;1;2;0;3;0
412162;1;0;2;0;3;0
107702;1;1;2;0;3;0
343719;1;0;2;0;3;0
77704;1;1;2;0;3;0
3248;1;0;2;0;3;0
9845;1;1;2;0;3;0
9464;1;1;2;0;3;0
233685;1;1;2;0;3;0
286492;1;1;2;0;3;0
10644;1;0;2;0;3;0
289468;1;1;2;0;3;0
9623;1;1;2;0;3;0
175992;1;1;2;0;3;0
2050;1;1;2;0;3;0
385452;1;0;2;0;3;0
977749;1;2;2;0;3;0
239126;1;1;2;0;3;0
35582;1;1;2;0;3;0
43056;1;0;2;0;3;0
222826;1;2;2;0;3;0
8365;1;1;2;0;3;0
7383;1;2;2;0;3;0
828267;1;0;2;0;3;0
183076;1;2;2;0;3;0
3628;1;1;2;0;3;0
407606;1;1;2;0;3;0
9419;1;0;2;0;3;0
266841;1;1;2;0;3;0
49709;1;1;2;0;3;0
690697;1;2;2;0;3;0
946846;1;1;2;0;3;0
586148;1;5;2;0;3;0
952113;1;0;2;0;3;0
399711;1;6;2;0;3;0
964469;1;0;2;0;3;0
9044;1;0;2;0;3;0
9276;1;1;2;0;3;0
30437;1;1;2;0;3;0
558409;1;1;2;0;3;0
67415;1;0;2;0;3;0
774543;1;1;2;0;3;0
506153;1;0;2;0;3;0
262062;1;1;2;0;3;0
6508;1;1;2;0;3;0
303;1;1;2;0;3;0
784338;1;1;2;0;3;0
20378;1;1;2;0;3;0
882327;1;1;2;0;3;0
70413;1;0;2;0;3;0
9516;1;3;2;0;3;0
7143;1;7;2;0;3;0
513;1;6;2;0;3;0
825693;1;0;2;0;3;0
8754;1;1;2;0;3;0
10466;1;1;2;0;3;0
491542;1;1;2;0;3;0
416879;1;0;2;0;3;0
932997;1;0;2;0;3;0
919225;1;0;2;0;3;0
997214;1;1;2;0;3;0
348172;1;0;2;0;3;0
789134;1;0;2;0;3;0
278831;1;0;2;0;3;0
7319;1;1;2;0;3;0
770797;1;1;2;0;3;0
935967;1;2;2;0;3;0
202341;1;1;2;0;3;0
85701;1;3;2;0;3;0
8565;1;2;2;0;3;0
10448;1;0;2;0;3;0
924049;1;1;2;0;3;0
10311;1;1;2;0;3;0
912472;1;1;2;0;3;0
828;1;1;2;0;3;0
4772;1;1;2;0;3;0
183899;1;6;2;0;3;0
398828;1;1;2;0;3;0
9607;1;1;2;0;3;0
454507;1;1;2;0;3;0
7644;1;1;2;0;3;0
264984;1;1;2;0;3;0
3387;1;1;2;0;3;0
655178;1;1;2;0;3;0
982142;1;1;2;0;3;100
19963;1;0;2;0;3;0
737199;1;1;2;0;3;0
10183;1;1;2;0;3;0
724276;1;0;2;0;3;0
330934;1;0;2;0;3;0
752119;1;1;2;0;3;0
3567;1;1;2;0;3;0
502492;1;1;2;0;3;0
196445;1;1;2;0;3;0
376639;1;0;2;0;3;0
642301;1;0;2;0;3;0
8872;1;1;2;0;3;0
291052;1;1;2;0;3;0
284304;1;1;2;0;3;0
10213;1;1;2;0;3;0
703592;1;1;2;0;3;0
8641;1;1;2;0;3;0
113619;1;1;2;0;3;0
969885;1;1;2;0;3;0
3790;1;5;2;0;3;0
4039;1;1;2;0;3;0
57449;1;0;2;0;3;0
333757;1;0;2;0;3;0
8829;1;2;2;0;3;0
879494;1;1;2;0;3;0
5519;1;2;2;0;3;0
853739;1;2;2;0;3;0
79552;1;1;2;0;3;0
7242;1;1;2;0;3;0
7082;1;0;2;0;3;0
353419;1;1;2;0;3;0
902264;1;1;2;0;3;0
10309;1;1;2;0;3;0
7231;1;1;2;0;3;0
31433;1;1;2;0;3;0
8488;1;1;2;0;3;0
983534;1;2;2;0;3;0
666063;1;1;2;0;3;0
698775;1;1;2;0;3;0
485711;1;8;2;0;3;0
273048;1;1;2;0;3;0
2717;1;1;2;0;3;0
10278;1;1;2;0;3;0
664;1;1;2;0;3;0
7698;1;1;2;0;3;0
905327;1;0;2;0;3;0
7495;1;1;2;0;3;0
8920;1;1;2;0;3;0
153764;1;0;2;0;3;0
735362;1;2;2;0;3;0
697316;1;1;2;0;3;0
567624;1;0;2;0;3;0
453351;1;0;2;0;3;0
531308;1;1;2;0;3;0
8702;1;17;2;0;3;0
417127;1;2;2;0;3;0
786062;1;0;2;0;3;0
192307;1;3;2;0;3;0
694109;1;1;2;0;3;0
2416;1;1;2;0;3;0
803816;1;1;2;0;3;0
450706;1;0;2;0;3;0
272167;1;2;2;0;3;0
480696;1;3;2;0;3;0
546019;1;4;2;0;3;0
9153;1;2;2;0;3;0
297359;1;0;2;0;3;0
815027;1;0;2;0;3;0
2524;1;32;2;5;3;0
790893;1;0;2;0;3;0
10665;1;1;2;0;3;0
860135;1;1;2;0;3;0
865831;1;1;2;0;3;0
5340;1;2;2;0;3;0
557501;1;5;2;0;3;0
866817;1;1;2;0;3;0
429412;1;0;2;0;3;0
6797;1;2;2;0;3;0
24976;1;0;2;0;3;0
370917;1;3;2;0;3;0
76273;1;1;2;0;3;0
7880;1;1;2;0;3;0
8360;1;1;2;0;3;0
994907;1;1;2;0;3;0
8192;1;4;2;0;3;0
7913;1;1;2;0;3;0
1379;1;0;2;0;3;0
3152;1;1;2;0;3;0
604323;1;0;2;0;3;0
407028;1;1;2;0;3;0
943767;1;1;2;0;3;0
752955;1;0;2;0;3;0
7578;1;1;2;0;3;0
583359;1;2;2;0;3;0
313191;1;9;2;0;3;0
7249;1;1;2;0;3;0
337787;1;1;2;0;3;0
9339;1;1;2;0;3;0
5364;1;2;2;0;3;0
25697;1;0;2;0;3;0
8997;1;0;2;0;3;0
8998;1;0;2;0;3;0
9002;1;0;2;0;3;0
9003;1;0;2;0;3;0
209699;1;0;2;0;3;0
10358;1;0;2;0;3;0
8996;1;0;2;0;3;0
9001;1;0;2;0;3;0
8999;1;0;2;0;3;0
10305;1;0;2;0;3;0
552496;1;1;2;0;3;0
668283;1;1;2;0;3;0
10081;1;0;2;0;3;0
766099;1;4;2;0;3;0
369907;1;0;2;0;3;0
9705;1;0;2;0;3;0
8533;1;1;2;0;3;0
512395;1;1;2;0;3;0
861002;1;0;2;0;3;0
717226;1;1;2;0;3;0
564075;1;1;2;0;3;0
281407;1;2;2;0;3;0
167335;1;11;2;0;3;0
12155;1;4;2;0;3;0
463548;1;4;2;0;3;0
52754;1;5;2;0;3;0
824844;1;0;2;0;3;0
5091;1;0;2;0;3;0
492457;1;0;2;0;3;0
799783;1;0;2;0;3;0
89719;1;1;2;0;3;0
513002;1;2;2;0;3;0
429886;1;1;2;0;3;0
153209;1;0;2;0;3;0
9426;1;1;2;0;3;0
430554;1;1;2;0;3;0
325;1;2;2;0;3;0
8271;1;2;2;0;3;0
513767;1;0;2;0;3;0
10198;1;1;2;0;3;0
875368;1;1;2;0;3;0
820107;1;1;2;0;3;0
773993;1;4;2;0;3;0
10432;1;2;2;0;3;0
559188;1;1;2;0;3;0
765722;1;1;2;0;3;0
2991;1;1;2;0;3;0
610093;1;0;2;0;3;0
501041;1;2;2;0;3;0
592842;1;2;2;0;3;0
73753;1;0;2;0;3;0
624693;1;1;2;0;3;0
1132;1;1;2;0;3;0
10412;1;1;2;0;3;0
95902;1;1;2;0;3;0
835597;1;0;2;0;3;0
8388;1;0;2;0;3;0
907321;1;0;2;0;3;0
563022;1;0;2;0;3;0
914423;1;0;2;0;3;0
737818;1;1;2;0;3;0
556631;1;0;2;0;3;0
2282;1;4;2;0;3;0
4019;1;1;2;0;3;0
486749;1;2;2;0;3;0
953973;1;6;2;0;3;0
239589;1;5;2;0;3;0
302611;1;1;2;0;3;0
48646;1;2;2;0;3;0
9155;1;3;2;0;3;0
8972;1;8;2;0;3;0
140327;1;13;2;0;3;0
237933;1;2;2;36;3;100
201235;1;1;2;9;3;0
821387;1;1;2;0;3;0
382463;1;1;2;0;3;100
710239;1;1;2;0;3;100
89531;1;2;2;0;3;0
239841;1;1;2;1;3;0
2835;1;10;2;0;3;0
10667;1;6;2;0;3;0
4114;1;4;2;0;3;0
10551;1;1;2;3;3;0
347276;1;1;2;2;3;0
7479;1;7;2;0;3;0
9988;1;1;2;0;3;0
319897;1;1;2;0;3;0
83596;1;1;2;0;3;0
261258;1;4;2;0;3;0
503113;1;34;2;0;3;0
